
--- "JFK" ---

("TUS": 0.0)
("UCA": 1.8262195122)
("BDL": 3.14714714715)
("SLC": 3.91563981043)
("STT": 4.04731182796)
("CMH": 5.76645435244)
("SYR": 6.74673629243)
("STX": 6.89224137931)
("CVG": 7.05050505051)
("IAD": 7.32055749129)

--- "BOS" ---

("MKE": 3.15586419753)
("SLC": 3.64631782946)
("LGA": 3.67223343733)
("BNA": 3.71880937302)
("RDU": 4.06674272675)
("CVG": 5.22394571013)
("BTV": 5.22881355932)
("DFW": 5.53931314957)
("JFK": 6.79816993464)
("BGR": 6.80800381134)

--- "SRQ" ---

("BNA": -1.01030927835)
("RDU": 1.34440894569)
("MEM": 1.79903730445)
("DFW": 2.0337972167)
("MCO": 2.35132032147)
("LGA": 3.65182186235)
("IAD": 3.78321678322)
("STL": 3.85507246377)
("ATL": 4.23106136318)
("IAH": 4.31034482759)

--- "CMH" ---

("BNA": 1.33108108108)
("DFW": 1.58550185874)
("SDF": 1.71634615385)
("CLE": 1.9304029304)
("DTW": 2.836400818)
("MEM": 3.13593256059)
("MCO": 3.51324503311)
("CVG": 3.76083248038)
("DCA": 3.79535060976)
("CAK": 3.86221294363)
